N,eta,eta_h,sum_eta_T,eff1,eff2
109,0.07502560923996393,0.0744932451007066,0.12710689563862604,0.9929042343720981,1.6941801196453323
127,0.01604986745903203,0.016593648368340874,0.11938698648295815,1.0338807102735812,7.438502952606837
156,0.050184889158965684,0.04998739359035731,0.09350623462479835,0.996064640733134,1.8632348539937578
197,0.027685837492189058,0.027665179251585903,0.05089763406221231,0.9992538336393478,1.8383996538508882
256,0.01823768247718882,0.018218929489928204,0.029698013333752236,0.9989717450512655,1.6283874538827876
354,0.010895165424865794,0.010893022576024647,0.01899532688459885,0.9998033211284469,1.7434638340824304
513,0.006537804174268913,0.0065364082866047335,0.011401195913725883,0.999786489832523,1.7438876432851884
746,0.0042073674119125215,0.004206461813158036,0.0074645191651641855,0.9997847588133326,1.7741543426964648
1069,0.0028633876545686165,0.00286319850630945,0.004939507033454695,0.999933942489811,1.7250570405909136
1669,0.0017080166546469266,0.0017078889053830926,0.0029479443426597834,0.9999252060783561,1.7259459002577284
2509,0.0011843298465681884,0.0011842400309788892,0.001956558462927456,0.9999241633658398,1.652038465970389
3788,0.0007913789364539237,0.0007913507839714673,0.0012157263086369657,0.9999644260402197,1.536212619057683
6240,0.0004628061500563385,0.00046279313222236107,0.000718857630686259,0.999971871951192,1.5532585956317795
9653,0.00030499173227316323,0.000304985123834145,0.0004688137238562714,0.9999783323994753,1.5371358441821052
14589,0.00020509484184028093,0.0002050928952774811,0.0003005357770274114,0.9999905089626713,1.4653502464067611
24230,0.00012094726834760428,0.00012094633766851492,0.00018091773955333703,0.9999923050838431,1.4958398153596715
